,EIK,REGINN,REITIR,,,,,,,,,,
EIK, 1.000 , 0.978 , 0.943 ,,0.868603345,0.903982585,0.696930249,,,,,,
REGINN, 0.978 , 1.000 , 0.903 ,,0.825329463,0.839310292,0.591855434,,,,,,
REITIR, 0.943 , 0.903 , 1.000 ,,0.87983389,0.895314664,0.791233057,,,,,,
,,,,,,,,,,,,,
SJOVA,0.868603345,0.825329463,0.87983389,,,,,,,,,,
TM,0.903982585,0.839310292,0.895314664,Insurance ,,,,,Property Investment ,,,,
VIS,0.696930249,0.591855434,0.791233057,, SJOVA , TM , VIS ,,,EIK,REGINN,REITIR,
,,,,SJOVA, 1.000 , 0.965 , 0.885 ,,EIK, 1.000 , 0.978 , 0.943 ,
,,,,TM, 0.965 , 1.000 , 0.881 ,,REGINN, 0.978 , 1.000 , 0.903 ,
,,,,VIS, 0.885 , 0.881 , 1.000 ,,REITIR, 0.943 , 0.903 , 1.000 ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,-1.000 ,-1.000 ,-1.000 ,,-1.000 ,-1.000 ,-1.000 ,-1.000 ,
,,,,,-1.000 ,-1.000 ,-1.000 , 1.000 ,-1,-1.000 ,-1.000 ,-1.000 ,
,,,,,-1.000 ,-1.000 ,-1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 ,
,,,,,0,0,0,1,1,1,1,1,
,,,,,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0
,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0
,,,,,0.5,0.5,0.5,0.5,0.5,.5.,0.5,0.5,
,,,,,0.5,0.5,0.5,0.5,0.5,,,,
